node_a,node_b,association,is_association_of_interest
hsa-miR-365b-3p,hsa-miR-365a-3p,1.0,1
hsa-miR-30c-5p,hsa-miR-324-5p,0.5,1
hsa-miR-20a-5p,hsa-miR-17-5p,0.2727272727272727,1
hsa-miR-20a-5p,hsa-miR-92a-3p,0.25,1
hsa-miR-33b-5p,hsa-miR-33a-5p,0.2,1
hsa-miR-200a-3p,hsa-miR-141-3p,0.2,1
hsa-miR-193b-3p,hsa-miR-148b-3p,0.16666666666666666,1
hsa-miR-33b-5p,hsa-miR-148b-3p,0.125,1
hsa-miR-29b-3p,hsa-miR-29c-3p,0.11428571428571428,1
hsa-miR-193b-3p,hsa-miR-33b-5p,0.1111111111111111,1
hsa-miR-192-5p,hsa-miR-16-5p,0.1111111111111111,1
hsa-miR-429,hsa-miR-200c-3p,0.1,0
hsa-miR-200b-3p,hsa-miR-200c-3p,0.09523809523809523,0
hsa-miR-429,hsa-miR-33a-5p,0.08695652173913043,0
hsa-miR-17-5p,hsa-miR-92a-3p,0.08333333333333333,0
hsa-miR-200b-3p,hsa-miR-429,0.08,0
hsa-miR-141-3p,hsa-miR-200b-3p,0.07142857142857142,0
hsa-miR-16-5p,hsa-miR-106b-5p,0.07142857142857142,0
hsa-miR-200b-3p,hsa-miR-193a-3p,0.07142857142857142,0
hsa-miR-193b-3p,hsa-miR-33a-5p,0.06666666666666667,0
hsa-miR-200b-3p,hsa-miR-148b-3p,0.0625,0
hsa-miR-33b-5p,hsa-miR-17-5p,0.0625,0
hsa-miR-200a-3p,hsa-miR-96-5p,0.061224489795918366,0
hsa-miR-17-5p,hsa-miR-106b-5p,0.058823529411764705,0
hsa-miR-193b-3p,hsa-miR-200b-3p,0.058823529411764705,0
hsa-miR-301a-3p,hsa-miR-106b-5p,0.05555555555555555,0
hsa-miR-429,hsa-miR-33b-5p,0.05555555555555555,0
hsa-miR-200b-3p,hsa-miR-33b-5p,0.05263157894736842,0
hsa-miR-29c-3p,hsa-miR-200c-3p,0.05,0
hsa-miR-200a-3p,hsa-miR-200c-3p,0.045454545454545456,0
hsa-miR-96-5p,hsa-miR-429,0.04081632653061224,0
hsa-miR-96-5p,hsa-miR-200b-3p,0.04,0
hsa-miR-141-3p,hsa-miR-342-3p,0.03571428571428571,0
hsa-miR-96-5p,hsa-miR-29b-3p,0.031746031746031744,0
hsa-miR-200a-3p,hsa-miR-29b-3p,0.025,0
hsa-miR-141-3p,hsa-miR-29b-3p,0.023809523809523808,0
hsa-miR-96-5p,hsa-miR-200c-3p,0.021739130434782608,0
hsa-miR-96-5p,hsa-miR-301a-3p,0.02040816326530612,0
hsa-miR-96-5p,hsa-miR-29c-3p,0.02040816326530612,0
hsa-miR-96-5p,hsa-miR-33a-5p,0.02040816326530612,0
hsa-miR-107,hsa-miR-24-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-365b-3p,0.0,0
hsa-miR-33a-5p,hsa-let-7c-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-193a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-27a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-425-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-363-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-196a-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-30d-5p,0.0,0
hsa-miR-744-5p,hsa-miR-9-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-324-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-365a-3p,0.0,0
hsa-miR-107,hsa-miR-16-5p,0.0,0
hsa-miR-107,hsa-miR-148a-3p,0.0,0
hsa-miR-107,hsa-miR-18a-5p,0.0,0
hsa-miR-107,hsa-miR-181d-5p,0.0,0
hsa-miR-107,hsa-miR-30c-5p,0.0,0
hsa-miR-107,hsa-miR-381-3p,0.0,0
hsa-miR-107,hsa-miR-106b-5p,0.0,0
hsa-miR-107,hsa-miR-9-5p,0.0,0
hsa-miR-107,hsa-miR-92a-3p,0.0,0
hsa-miR-107,hsa-miR-15b-5p,0.0,0
hsa-miR-107,hsa-miR-149-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-130b-3p,0.0,0
hsa-miR-744-5p,hsa-miR-148b-3p,0.0,0
hsa-miR-192-5p,hsa-miR-30d-5p,0.0,0
hsa-miR-192-5p,hsa-miR-196a-5p,0.0,0
hsa-miR-192-5p,hsa-miR-363-3p,0.0,0
hsa-miR-744-5p,hsa-miR-149-5p,0.0,0
hsa-miR-744-5p,hsa-miR-15b-5p,0.0,0
hsa-miR-192-5p,hsa-miR-425-5p,0.0,0
hsa-miR-192-5p,hsa-miR-27a-3p,0.0,0
hsa-miR-192-5p,hsa-miR-193a-3p,0.0,0
hsa-miR-192-5p,hsa-let-7c-5p,0.0,0
hsa-miR-192-5p,hsa-miR-365b-3p,0.0,0
hsa-miR-192-5p,hsa-miR-365a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-107,0.0,0
hsa-miR-33a-5p,hsa-miR-148b-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-16-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-148a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-18a-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-181d-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-381-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-106b-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-9-5p,0.0,0
hsa-miR-744-5p,hsa-miR-92a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-92a-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-15b-5p,0.0,0
hsa-miR-33a-5p,hsa-miR-149-5p,0.0,0
hsa-miR-107,hsa-miR-148b-3p,0.0,0
hsa-miR-33a-5p,hsa-miR-24-3p,0.0,0
hsa-miR-24-3p,hsa-miR-363-3p,0.0,0
hsa-miR-24-3p,hsa-miR-425-5p,0.0,0
hsa-miR-24-3p,hsa-miR-27a-3p,0.0,0
hsa-miR-24-3p,hsa-miR-193a-3p,0.0,0
hsa-miR-24-3p,hsa-let-7c-5p,0.0,0
hsa-miR-24-3p,hsa-miR-365b-3p,0.0,0
hsa-miR-24-3p,hsa-miR-365a-3p,0.0,0
hsa-miR-16-5p,hsa-miR-148a-3p,0.0,0
hsa-miR-16-5p,hsa-miR-18a-5p,0.0,0
hsa-miR-16-5p,hsa-miR-181d-5p,0.0,0
hsa-miR-744-5p,hsa-miR-381-3p,0.0,0
hsa-miR-16-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-192-5p,hsa-miR-130b-3p,0.0,0
hsa-miR-744-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-16-5p,hsa-miR-9-5p,0.0,0
hsa-miR-16-5p,hsa-miR-92a-3p,0.0,0
hsa-miR-16-5p,hsa-miR-15b-5p,0.0,0
hsa-miR-744-5p,hsa-miR-181d-5p,0.0,0
hsa-miR-16-5p,hsa-miR-149-5p,0.0,0
hsa-miR-744-5p,hsa-miR-148a-3p,0.0,0
hsa-miR-16-5p,hsa-miR-148b-3p,0.0,0
hsa-miR-16-5p,hsa-miR-324-5p,0.0,0
hsa-miR-16-5p,hsa-miR-130b-3p,0.0,0
hsa-miR-16-5p,hsa-miR-30d-5p,0.0,0
hsa-miR-16-5p,hsa-miR-196a-5p,0.0,0
hsa-miR-16-5p,hsa-miR-363-3p,0.0,0
hsa-miR-16-5p,hsa-miR-381-3p,0.0,0
hsa-miR-107,hsa-miR-324-5p,0.0,0
hsa-miR-107,hsa-miR-130b-3p,0.0,0
hsa-miR-107,hsa-miR-30d-5p,0.0,0
hsa-miR-107,hsa-miR-196a-5p,0.0,0
hsa-miR-107,hsa-miR-363-3p,0.0,0
hsa-miR-107,hsa-miR-425-5p,0.0,0
hsa-miR-107,hsa-miR-27a-3p,0.0,0
hsa-miR-107,hsa-miR-193a-3p,0.0,0
hsa-miR-107,hsa-let-7c-5p,0.0,0
hsa-miR-107,hsa-miR-365b-3p,0.0,0
hsa-miR-107,hsa-miR-365a-3p,0.0,0
hsa-miR-24-3p,hsa-miR-16-5p,0.0,0
hsa-miR-24-3p,hsa-miR-148a-3p,0.0,0
hsa-miR-24-3p,hsa-miR-196a-5p,0.0,0
hsa-miR-24-3p,hsa-miR-181d-5p,0.0,0
hsa-miR-744-5p,hsa-miR-106b-5p,0.0,0
hsa-miR-24-3p,hsa-miR-30c-5p,0.0,0
hsa-miR-24-3p,hsa-miR-381-3p,0.0,0
hsa-miR-24-3p,hsa-miR-106b-5p,0.0,0
hsa-miR-24-3p,hsa-miR-9-5p,0.0,0
hsa-miR-24-3p,hsa-miR-92a-3p,0.0,0
hsa-miR-24-3p,hsa-miR-15b-5p,0.0,0
hsa-miR-24-3p,hsa-miR-149-5p,0.0,0
hsa-miR-24-3p,hsa-miR-148b-3p,0.0,0
hsa-miR-24-3p,hsa-miR-324-5p,0.0,0
hsa-miR-24-3p,hsa-miR-130b-3p,0.0,0
hsa-miR-24-3p,hsa-miR-30d-5p,0.0,0
hsa-miR-24-3p,hsa-miR-18a-5p,0.0,0
hsa-miR-17-5p,hsa-miR-192-5p,0.0,0
hsa-miR-17-5p,hsa-miR-33a-5p,0.0,0
hsa-miR-17-5p,hsa-miR-107,0.0,0
hsa-miR-17-5p,hsa-miR-24-3p,0.0,0
hsa-miR-17-5p,hsa-miR-16-5p,0.0,0
