source,target,mediators,total_mediators
hsa-miR-429,KEGG:05165,TCF4; SLC2A3; MAF,3
hsa-miR-429,KEGG:04151,TCF4; SLC2A3; MAF,3
hsa-miR-429,KEGG:04390,TCF4; MAF,2
hsa-miR-33b-5p,KEGG:05202,RUNX1T1; RGMA,2
hsa-miR-106b-5p,KEGG:04390,TBCEL,1
hsa-miR-106b-5p,KEGG:05165,TBCEL,1
hsa-miR-429,KEGG:04510,TCF4,1
hsa-miR-363-3p,KEGG:05165,TBX3,1
hsa-miR-363-3p,KEGG:04390,TBX3,1
hsa-miR-363-3p,KEGG:04151,TBX3,1
hsa-miR-33b-5p,KEGG:05165,CROT,1
hsa-miR-33b-5p,KEGG:04510,CROT,1
hsa-miR-33b-5p,KEGG:04151,CROT,1
hsa-miR-301a-3p,KEGG:05165,TBC1D12,1
hsa-miR-301a-3p,KEGG:04390,FRMD6,1
hsa-miR-200a-3p,KEGG:05202,DZIP1,1
hsa-miR-200a-3p,KEGG:04510,GATA6,1
hsa-miR-200a-3p,KEGG:04390,WWTR1,1
hsa-miR-193b-3p,KEGG:05202,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04151,KIT,1
hsa-miR-192-5p,KEGG:05165,PRKG1,1
hsa-miR-192-5p,KEGG:04510,PRKG1,1
hsa-miR-192-5p,KEGG:04151,PRKG1,1
hsa-miR-148b-3p,KEGG:05202,RUNX1T1,1
hsa-miR-106b-5p,KEGG:05202,RASGRF2,1
hsa-miR-429,KEGG:05202,TCF4,1
