accession_id,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143,reads_greater_than_or_equal_to_threshold,reads_greater_than_or_equal_to_threshold_percentage,is_expressed
MIMAT0000062,15868.0,28998.0,49811.0,10962.0,20083.0,81120.0,21828.0,76258.0,25178.0,339513.0,29860.0,26205.0,27867.0,23501.0,19540.0,44700.0,41206.0,43563.0,37695.0,21243.0,64370.0,59354.0,109271.0,17324.0,35515.0,25603.0,31250.0,32647.0,94350.0,27178.0,41034.0,11073.0,69682.0,24756.0,32423.0,13575.0,184624.0,13729.0,36797.0,54673.0,55528.0,35229.0,79791.0,45866.0,96771.0,59343.0,130734.0,54800.0,15681.0,25558.0,81617.0,11903.0,18136.0,45392.0,36868.0,31019.0,56,100.0,1
MIMAT0000063,20715.0,89908.0,67531.0,6183.0,38497.0,50804.0,47014.0,32421.0,49145.0,274597.0,26371.0,33125.0,12006.0,11443.0,54865.0,60451.0,78330.0,55338.0,72940.0,11796.0,42832.0,20490.0,167435.0,13919.0,60550.0,32936.0,40599.0,33063.0,107887.0,38294.0,68427.0,9906.0,65183.0,20726.0,14091.0,17788.0,239469.0,15656.0,44078.0,58891.0,30139.0,33280.0,47659.0,42999.0,124280.0,54503.0,95620.0,63216.0,17932.0,19561.0,60530.0,14327.0,16079.0,40233.0,26816.0,40579.0,56,100.0,1
MIMAT0000064,915.0,3128.0,6580.0,601.0,2147.0,5503.0,2754.0,4303.0,2739.0,19367.0,1995.0,2606.0,2833.0,1495.0,3110.0,3466.0,1121.0,3139.0,5094.0,1178.0,9345.0,3366.0,7340.0,4295.0,1675.0,955.0,1613.0,12481.0,2694.0,3687.0,1864.0,1654.0,4499.0,2728.0,2590.0,2466.0,11566.0,811.0,7732.0,3635.0,4093.0,680.0,6106.0,6028.0,4247.0,9713.0,3829.0,1070.0,3705.0,1883.0,7084.0,912.0,2828.0,4304.0,3829.0,5011.0,56,100.0,1
MIMAT0000065,192.0,982.0,512.0,138.0,121.0,1335.0,561.0,737.0,557.0,541.0,568.0,367.0,241.0,156.0,290.0,1002.0,1065.0,470.0,307.0,159.0,836.0,234.0,418.0,806.0,681.0,373.0,321.0,683.0,340.0,320.0,318.0,243.0,417.0,1071.0,153.0,100.0,2001.0,464.0,399.0,680.0,393.0,653.0,877.0,276.0,552.0,1177.0,717.0,765.0,205.0,194.0,669.0,157.0,418.0,1269.0,407.0,593.0,56,100.0,1
MIMAT0000066,1364.0,1527.0,725.0,1017.0,919.0,2217.0,1151.0,3200.0,1074.0,13747.0,1435.0,2082.0,1689.0,1485.0,815.0,1821.0,1236.0,1818.0,1044.0,1914.0,2441.0,3002.0,3090.0,942.0,3295.0,537.0,1308.0,1933.0,2637.0,1332.0,1168.0,761.0,5347.0,1570.0,694.0,416.0,4370.0,898.0,1757.0,3197.0,2056.0,1133.0,1906.0,1618.0,2787.0,2936.0,3627.0,558.0,1013.0,881.0,2897.0,1609.0,441.0,782.0,1281.0,1689.0,56,100.0,1
MIMAT0000067,982.0,3267.0,7791.0,1178.0,3009.0,24161.0,4055.0,37520.0,4109.0,45829.0,5759.0,2920.0,9854.0,1644.0,1684.0,5425.0,5488.0,5816.0,6475.0,2492.0,19537.0,12719.0,27861.0,4826.0,5363.0,3357.0,3689.0,6435.0,14816.0,5047.0,4516.0,2484.0,13644.0,5821.0,7559.0,1583.0,44633.0,3823.0,6965.0,12775.0,15393.0,3925.0,31327.0,11773.0,17111.0,14532.0,31355.0,15861.0,3125.0,5079.0,29686.0,1050.0,4560.0,6034.0,6480.0,6860.0,56,100.0,1
MIMAT0000068,54.0,262.0,252.0,165.0,191.0,267.0,164.0,333.0,82.0,896.0,443.0,152.0,185.0,168.0,55.0,295.0,409.0,143.0,308.0,188.0,393.0,278.0,248.0,314.0,210.0,185.0,314.0,253.0,501.0,154.0,333.0,122.0,275.0,205.0,57.0,64.0,632.0,134.0,253.0,268.0,206.0,279.0,415.0,163.0,729.0,327.0,390.0,308.0,143.0,143.0,292.0,219.0,291.0,320.0,194.0,220.0,56,100.0,1
MIMAT0000069,834.0,2832.0,2167.0,3861.0,781.0,871.0,2327.0,1240.0,994.0,2387.0,2105.0,2330.0,457.0,1296.0,807.0,2583.0,3315.0,1045.0,4213.0,1967.0,1397.0,1268.0,1858.0,1763.0,2899.0,1105.0,2967.0,1560.0,1233.0,1898.0,4400.0,1584.0,1218.0,1234.0,347.0,1634.0,2908.0,1707.0,2701.0,1511.0,844.0,1846.0,3238.0,479.0,3847.0,1581.0,2115.0,1798.0,817.0,721.0,1363.0,2551.0,1272.0,1207.0,1179.0,2549.0,56,100.0,1
MIMAT0000070,89.0,527.0,385.0,467.0,130.0,359.0,948.0,659.0,186.0,3305.0,1395.0,584.0,1185.0,272.0,303.0,2884.0,655.0,216.0,675.0,707.0,2219.0,446.0,420.0,1042.0,1400.0,378.0,403.0,531.0,777.0,364.0,1074.0,369.0,872.0,652.0,152.0,144.0,998.0,478.0,353.0,420.0,1051.0,2185.0,720.0,629.0,1720.0,912.0,1688.0,1952.0,479.0,503.0,689.0,261.0,1436.0,1264.0,632.0,710.0,56,100.0,1
MIMAT0000071,14.0,123.0,175.0,89.0,31.0,190.0,253.0,454.0,98.0,2605.0,272.0,89.0,273.0,97.0,93.0,480.0,216.0,53.0,258.0,138.0,770.0,117.0,290.0,175.0,271.0,119.0,134.0,253.0,188.0,220.0,434.0,47.0,403.0,149.0,103.0,44.0,828.0,122.0,174.0,200.0,339.0,483.0,417.0,164.0,602.0,404.0,587.0,896.0,105.0,265.0,432.0,114.0,331.0,232.0,238.0,281.0,56,100.0,1
