source,target,weight
hsa-let-7b-5p,hsa-let-7c-5p,0.38
hsa-miR-15a-5p,hsa-miR-16-5p,0.23
hsa-miR-17-5p,hsa-miR-93-5p,0.12
hsa-miR-17-5p,hsa-miR-106a-5p,0.12
hsa-miR-17-5p,hsa-miR-20b-5p,0.12
hsa-miR-26b-5p,hsa-miR-1271-5p,0.25
hsa-miR-29a-3p,hsa-miR-29c-3p,0.25
hsa-miR-30a-5p,hsa-miR-30d-5p,0.14
hsa-miR-30a-5p,hsa-miR-30e-5p,0.21
hsa-miR-33a-5p,hsa-miR-130a-3p,0.12
hsa-miR-93-5p,hsa-miR-106a-5p,0.22
hsa-miR-93-5p,hsa-miR-20b-5p,0.29
hsa-miR-96-5p,hsa-miR-9-5p,0.11
hsa-miR-106a-5p,hsa-miR-106b-5p,0.14
hsa-miR-106a-5p,hsa-miR-20b-5p,0.32
hsa-miR-199a-3p,hsa-miR-199b-3p,1.0
hsa-miR-129-5p,hsa-miR-34c-5p,0.13
hsa-miR-181a-5p,hsa-miR-181b-5p,0.23
hsa-miR-181a-5p,hsa-miR-181c-5p,0.19
hsa-miR-181a-5p,hsa-miR-181d-5p,0.14
hsa-miR-181b-5p,hsa-miR-181c-5p,0.15
hsa-miR-181b-5p,hsa-miR-200c-3p,0.1
hsa-miR-181b-5p,hsa-miR-181d-5p,0.31
hsa-miR-181c-5p,hsa-miR-181d-5p,0.11
hsa-miR-187-3p,hsa-miR-205-5p,0.12
hsa-miR-187-3p,hsa-miR-132-3p,0.14
hsa-miR-204-5p,hsa-miR-125b-5p,0.11
hsa-miR-205-5p,hsa-miR-132-3p,0.15
hsa-miR-205-5p,hsa-miR-34c-5p,0.11
hsa-miR-212-3p,hsa-miR-130a-3p,0.12
hsa-miR-212-3p,hsa-miR-132-3p,0.29
hsa-miR-221-3p,hsa-miR-222-3p,0.29
hsa-miR-200b-3p,hsa-miR-200c-3p,0.29
hsa-miR-200b-3p,hsa-miR-200a-3p,0.11
hsa-miR-200b-3p,hsa-miR-429,0.23
hsa-miR-128-3p,hsa-miR-708-5p,0.12
hsa-miR-135a-5p,hsa-miR-135b-5p,0.21
hsa-miR-141-3p,hsa-miR-200a-3p,0.44
hsa-miR-125a-5p,hsa-miR-331-3p,0.14
hsa-miR-136-5p,hsa-miR-493-5p,0.12
hsa-miR-195-5p,hsa-miR-424-5p,0.11
hsa-miR-200a-3p,hsa-miR-429,0.11
hsa-miR-34c-5p,hsa-miR-146b-5p,0.11
hsa-miR-365a-3p,hsa-miR-365b-3p,1.0
hsa-miR-378a-3p,hsa-miR-378c,0.48
hsa-miR-497-5p,hsa-miR-503-5p,0.33
hsa-miR-497-5p,hsa-miR-299-5p,0.33
hsa-miR-330-5p,hsa-miR-874-3p,0.5
